player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Timon Weiner,Holstein Kiel,Unknown,GK,GER,25,2250,56.7,8.0,0.0,2.44,5.64,3.2800000000000002,0.08,0.0
Tomáš Koubek,Augsburg,Unknown,GK,CZE,30,1260,67.8,4.55,0.0,2.142857142857143,6.642857142857143,4.5,0.07142857142857142,0.0
Unai Simón,Athletic Club,ESP-La Liga,GK,ESP,29-091,11507,71.32000000000001,36.9,33.0,1.1184496393499608,3.613452680976797,2.5184670200747368,0.32849569827061786,0.04692795689580256
Vanja Milinković-Savić,Napoli,ITA-Serie A,GK,SRB,28,12420,72.875,35.95,23.65,1.0,3.77536231884058,2.7681159420289854,0.35507246376811596,0.050724637681159424
Vicente Guaita,Celta Vigo,ESP-La Liga,GK,ESP,37,7893,67.23333333333333,17.8,0.0,1.379703534777651,4.196123147092361,2.827822120866591,0.18244013683010263,0.0
Vito Mannone,Lille,FRA-Ligue 1,GK,ITA,35,1699,65.9,14.7,0.0,1.3772807533843436,4.767510300176575,3.3902295467922308,0.26486168334314303,0.0
Wes Foderingham,Sheffield United,ENG-Premier League,GK,ENG,32,2649,62.7,3.4,0.0,2.684031710079275,7.202718006795017,4.5186862967157415,0.03397508493771234,0.0
Wladimiro Falcone,Lecce,ITA-Serie A,GK,ITA,31-151,13950,70.47999999999999,22.46,15.559999999999999,1.3741935483870968,4.406451612903226,3.1354838709677417,0.2,0.03225806451612903
Wojciech Szczęsny,Juventus,ITA-Serie A,GK,POL,33,7692,66.875,36.725,20.825,0.9711388455538221,3.1825273010920436,2.234789391575663,0.4329173166926677,0.0234009360374415
Yahia Fofana,Angers,FRA-Ligue 1,GK,CIV,23,3960,68.75,15.149999999999999,25.0,1.5909090909090908,5.4772727272727275,3.8863636363636362,0.18181818181818182,0.022727272727272728
Yann Sommer,Gladbach,Unknown,GK,SUI,33,11600,70.58,38.239999999999995,11.66,0.9310344827586207,3.297413793103448,2.3586206896551727,0.41120689655172415,0.015517241379310343
Yassine Bounou,Sevilla,ESP-La Liga,GK,MAR,32,2241,47.05,8.0,16.65,1.6867469879518073,4.216867469879518,2.5301204819277108,0.1606425702811245,0.040160642570281124
Yehvann Diouf,Nice,FRA-Ligue 1,GK,SEN,26-298,11520,67.8,27.78,10.2,1.359375,4.65625,3.328125,0.265625,0.0234375
Yvon Mvogo,Lorient,FRA-Ligue 1,GK,SUI,32-096,7932,70.25,28.05,0.0,1.588502269288956,4.95839636913767,3.3698940998487137,0.170196671709531,0.0
Zion Suzuki,Parma,ITA-Serie A,GK,JPN,22,5294,72.46666666666667,31.46666666666667,11.1,1.3940309784661882,4.199093313184737,2.8050623347185493,0.22100491122024934,0.017000377786173027
Álex Remiro,Real Sociedad,ESP-La Liga,GK,ESP,31-170,13625,69.36,28.76,16.68,1.1889908256880735,3.7387155963302754,2.6157798165137613,0.29724770642201837,0.01981651376146789
Álvaro Fernández,Sevilla,ESP-La Liga,GK,ESP,26,1737,60.5,27.85,0.0,1.761658031088083,4.5595854922279795,2.7461139896373057,0.25906735751295334,0.0
Álvaro Vallés,Real Betis,ESP-La Liga,GK,ESP,29-047,6143,71.93333333333334,41.733333333333334,54.300000000000004,1.2453198762819468,4.248738401432525,3.0913234575940094,0.2783656194041999,0.0732541103695263
Édgar Badía,Elche,ESP-La Liga,GK,ESP,30,3240,68.3,11.1,30.0,1.75,5.527777777777778,3.7777777777777777,0.1111111111111111,0.08333333333333334
Ørjan Nyland,RB Leipzig,Unknown,GK,NOR,31,5463,66.075,29.375,6.25,1.2520593080724878,4.003294892915981,2.7512355848434926,0.2471169686985173,0.016474464579901153
Đorđe Petrović,Strasbourg,FRA-Ligue 1,GK,SRB,24,8467,67.9,19.849999999999998,3.125,1.4349828746899729,4.64509271288532,3.2101098381953466,0.265737569387032,0.01062950277548128
Łukasz Fabiański,West Ham,ENG-Premier League,GK,POL,39,4992,66.9,20.8,11.1,1.6225961538461537,5.066105769230769,3.443509615384616,0.234375,0.018028846153846152
Łukasz Skorupski,Bologna,ITA-Serie A,GK,POL,35-128,10436,65.82000000000001,25.619999999999997,19.44,1.1469911843618243,3.484093522422384,2.440590264469145,0.30183978535837486,0.03449597546952856
