player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Joan García,Barcelona,ESP-La Liga,GK,ESP,25-129,6570,63.6,36.525,8.325,1.0547945205479452,4.136986301369864,3.0821917808219177,0.35616438356164387,0.027397260273972605
Jonas Omlin,Gladbach,Unknown,GK,SUI,30,4064,64.05,15.95,14.575,2.0152559055118107,5.602854330708661,3.5875984251968505,0.19931102362204725,0.04429133858267716
Jonas Urbig,Bayern Munich,Unknown,GK,GER,21,1831,62.599999999999994,39.75,0.0,1.3271436373566359,3.6865101037684322,2.359366466411797,0.3932277444019661,0.0
Jonathan Fischer,Metz,FRA-Ligue 1,GK,DEN,23,2354,62.2,19.2,14.3,2.141036533559898,5.658453695836873,3.5174171622769754,0.1911639762107052,0.038232795242141036
Jordan Pickford,Everton,ENG-Premier League,GK,ENG,32-187,13860,70.6,28.339999999999996,28.339999999999996,1.331168831168831,4.3896103896103895,3.0584415584415585,0.2727272727272727,0.025974025974025976
Jordi Masip,Valladolid,ESP-La Liga,GK,ESP,33,2507,71.0,28.6,37.5,1.5077782209812525,5.2054248105305145,3.697646589549262,0.28719585161547667,0.10769844435580374
Josep Martinez,Inter,ITA-Serie A,GK,ESP,28-106,4409,72.75,43.875,6.25,1.0818779768655022,3.4701746427761395,2.3882966659106373,0.30619188024495353,0.020412792016330235
José Sá,Wolves,ENG-Premier League,GK,POR,32,10956,64.575,20.875,19.65,1.6265060240963856,4.698795180722891,3.072289156626506,0.2135815991237678,0.03285870755750274
Juan Carlos,Girona,ESP-La Liga,GK,ESP,34,900,59.1,0.0,0.0,1.8,4.4,2.6,0.0,0.0
Juan Musso,Atalanta,ITA-Serie A,GK,ARG,30,4057,79.78,65.06,0.0,1.153561745131871,3.704707912250431,2.5511461671185605,0.4436775942814888,0.0
Julen Agirrezabala,Racing Sant,ESP-La Liga,GK,ESP,25-258,4099,67.26,27.3,15.0,1.2734813369114417,3.776530861185655,2.481092949499878,0.26347889729202245,0.043913149548670406
Justin Bijlow,Genoa,ITA-Serie A,GK,NED,28-231,1665,61.25,15.65,0.0,1.4594594594594597,4.324324324324325,2.864864864864865,0.2702702702702703,0.0
Kamil Grabara,Wolfsburg,Unknown,GK,POL,26,5645,63.85,11.55,31.65,1.8813108945969885,5.1975199291408325,3.33215234720992,0.11160318866253321,0.0637732506643047
Karl Darlow,Leeds United,ENG-Premier League,GK,WAL,34,1980,70.0,22.7,0.0,1.2272727272727273,4.090909090909091,2.8636363636363633,0.2272727272727273,0.0
Karl Jakob Hein,Werder Bremen,Unknown,GK,EST,24-150,3150,58.73333333333333,22.03333333333333,0.0,2.2,5.371428571428572,3.1714285714285713,0.17142857142857143,0.0
Kasper Schmeichel,Nice,FRA-Ligue 1,GK,DEN,35,3240,75.2,30.6,25.0,0.9722222222222222,3.9166666666666665,2.9444444444444446,0.3055555555555556,0.027777777777777776
Kauã Santos,Frankfurt,Unknown,GK,BRA,22,1849,64.55,26.45,0.0,2.141698215251487,5.743645213628988,3.601946998377501,0.24337479718766902,0.0
Kepa Arrizabalaga,Real Madrid,ESP-La Liga,GK,ESP,28,6643,72.075,21.9,0.0,1.1109438506698779,4.091524913442721,2.9805810627728437,0.2845100105374078,0.0
Kevin Müller,Heidenheim,Unknown,GK,GER,33,5999,65.75,19.45,6.25,1.7852975495915988,5.220870145024171,3.4355725954325718,0.19503250541756958,0.015002500416736123
Kevin Trapp,Frankfurt,Unknown,GK,GER,34,10395,68.94,32.339999999999996,26.5,1.41991341991342,4.1558441558441555,2.7186147186147185,0.24242424242424243,0.04329004329004329
Keylor Navas,PSG,FRA-Ligue 1,GK,CRC,36,1889,55.7,18.4,0.0,1.810481736368449,4.526204340921122,2.7157226045526732,0.142932768660667,0.0
Koen Casteels,Wolfsburg,Unknown,GK,BEL,31,5310,67.25,23.65,10.0,1.4745762711864407,4.508474576271186,3.033898305084746,0.2542372881355932,0.01694915254237288
Leo Román,Dep. A Coruña,ESP-La Liga,GK,ESP,26-066,4050,79.65,35.175,3.575,1.4444444444444446,4.911111111111111,3.466666666666667,0.15555555555555556,0.022222222222222223
Lorenzo Montipò,Hellas Verona,ITA-Serie A,GK,ITA,29,13050,64.725,17.9,35.825,1.5586206896551724,4.43448275862069,2.8758620689655174,0.1793103448275862,0.034482758620689655
