player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Kike Barja,Osasuna,ESP-La Liga,29-162,ESP,MF,2467.0,38.72,0.128,1.3699999999999999,0.1459262261856506,0.3283340089177138,0.1459262261856506,0.0,0.4377786785569518,0.0,1.7875962707742197,1.2768544791244427,0.40129712201053913,8.82853668423186,0.5107417916497771,0.7296311309282529,1.3133360356708552,0.5107417916497771
Kike Pérez,Venezia,ITA-Serie A,29-208,ESP,MF,5685.0,29.339999999999996,0.05600000000000001,0.692,0.079155672823219,0.0316622691292876,0.079155672823219,0.0,0.42744063324538256,0.0,2.5963060686015833,2.121372031662269,0.09498680738786279,2.5646437994722957,0.7757255936675461,1.6306068601583115,1.4564643799472297,0.4432717678100264
Kike Salas,Sevilla,ESP-La Liga,24-140,ESP,DF,6681.0,27.419999999999998,0.152,1.078,0.12123933542882803,0.04041311180960934,0.12123933542882803,0.0,0.24247867085765606,0.026942074539739562,1.22586439155815,0.6870229007633587,0.04041311180960934,0.37718904355635385,1.3875168387965873,1.21239335428828,0.862146385271666,0.28289178266726533
Kiko Femenía,Getafe,ESP-La Liga,35-220,ESP,"DF,MF",7089.0,7.5,0.026000000000000002,1.282,0.012695725772323318,0.025391451544646636,0.012695725772323318,0.0,0.2666102412187897,0.025391451544646636,0.9394837071519255,0.45704612780363946,0.07617435463393991,1.955141768937791,1.637748624629708,1.2060939483707152,0.17774016081252647,0.03808717731696996
Kiké,Espanyol,ESP-La Liga,35,ESP,FW,6720.0,40.525,0.11,1.2075,0.3482142857142857,0.040178571428571425,0.28125,0.06696428571428571,0.2142857142857143,0.013392857142857144,1.7678571428571428,2.2098214285714284,0.8169642857142858,0.6026785714285714,0.10714285714285715,0.40178571428571425,2.9732142857142856,1.2321428571428572
Kilian Fischer,Wolfsburg,Unknown,24,GER,DF,3890.0,12.5,0.0425,1.455,0.02313624678663239,0.0,0.02313624678663239,0.0,0.2313624678663239,0.0,1.295629820051414,0.43958868894601544,0.0,1.8046272493573263,0.8560411311053985,1.596401028277635,0.34704370179948585,0.04627249357326478
Kiliann Sildillia,Freiburg,Unknown,22,FRA,DF,4584.0,17.633333333333336,0.09666666666666666,1.6366666666666667,0.03926701570680628,0.05890052356020943,0.03926701570680628,0.0,0.15706806282722513,0.03926701570680628,1.492146596858639,0.4908376963350785,0.13743455497382198,1.6295811518324608,1.0209424083769634,0.9620418848167539,0.47120418848167545,0.07853403141361257
Kim Min-jae,Bayern Munich,Unknown,29-299,KOR,DF,8988.0,42.28,0.168,2.528,0.06008010680907877,0.04005340453938585,0.06008010680907877,0.0,0.12016021361815754,0.0,0.8411214953271028,0.1602136181575434,0.010013351134846462,0.10013351134846461,1.5520694259012018,0.9312416555407209,0.30040053404539385,0.15020026702269693
Kingsley Coman,Bayern Munich,Unknown,28,FRA,MF,3804.0,32.93333333333334,0.12,2.3633333333333333,0.3785488958990536,0.28391167192429023,0.3785488958990536,0.0,0.07097791798107256,0.02365930599369085,0.5678233438485805,1.2302839116719242,0.3312302839116719,4.329652996845426,0.28391167192429023,0.638801261829653,3.004731861198738,1.0173501577287067
Kingsley Ehizibue,Köln,Unknown,27,NED,DF,6885.0,35.61666666666667,0.06166666666666667,0.9700000000000001,0.05228758169934641,0.026143790849673203,0.05228758169934641,0.0,0.2745098039215686,0.0,1.4771241830065358,1.3202614379084967,0.1830065359477124,1.8823529411764706,0.7581699346405228,1.4640522875816993,0.7189542483660131,0.20915032679738563
